keyword,language,topic,topicColor,keywordColor,limitPages,ratioNew
'Joana Cotar',de,Deutschland,#1818e8,#1818e8,1,0.1383847895568137
'John Roberts',de,USA,#18e8e8,#18e8e8,1,0.1373765928807739
'Bernard Arnault',de,Frankreich,#e8e808,#e8e808,2,0.1341940440751421
'Maybrit Illner',de,Deutschland,#1818e8,#1818e8,3,0.1339414333732137
'Silvio Berlusconi',de,Italien,#111111,#111111,3,0.1337948566427067
'Sundar Pichai',de,USA,#18e8e8,#18e8e8,2,0.1317890543879531
'Andreas Jödecke',de,Deutschland,#1818e8,#1818e8,1,0.131776885743496
'MacKenzie Scott',de,USA,#18e8e8,#18e8e8,1,0.1298879936879949
'Miguel Díaz-Canel',de,Kuba,#111111,#111111,1,0.1294581807787991
'Dalai Lama',de,Tibet,#111111,#111111,1,0.1254581352574358
'Kurt Krömer',de,Deutschland,#1818e8,#1818e8,1,0.1246719832028642
'Hans Joachim Schellnhuber',de,Deutschland,#1818e8,#1818e8,2,0.1236925730610332
'Jochen Thewes',de,Deutschland,#1818e8,#1818e8,1,0.1212283256646623
'Tamim bin Hamad Al-Thani',de,Katar,#111111,#111111,1,0.1182916347102054
'Alberto Ángel Fernández',de,Argentinien,#111111,#111111,1,0.1155569800506883
'Lee Hsien Loong',de,Singapur,#111111,#111111,1,0.1155152699447566
'Amin Nasser',de,SaudiArabien,#111111,#111111,1,0.1139103008400592
'Ulf Poschardt',de,Deutschland,#1818e8,#1818e8,1,0.1058988697501076
'Katalin Novák',de,Ungarn,#111111,#111111,1,0.1038180834481172
'Frank Bainimarama',de,Fidschi,#111111,#111111,1,0.1009511867862552
'Ayatollah Ali Chamenei',de,Iran,#111111,#111111,1,0.1003985244609884
'Larry Page',de,USA,#18e8e8,#18e8e8,2,0.0977199728110289
'Katalin Novak',de,Ungarn,#111111,#111111,1,0.0846712303252764
'Bartholomäus',de,Türkei,#111111,#111111,1,0.0826727256701752
'Philipp Wolff',de,Deutschland,#1818e8,#1818e8,3,0.0769645096288959
'Charles Holliday',de,USA,#18e8e8,#18e8e8,1,0.0749648181496656
'Dimitry Peskov',de,Russland,#e81818,#e81818,1,0.0745093391322185
'Yang Huiyan',de,China,#e88818,#e88818,1,0.074297745308834
'Helge Lund',de,UK,#e838e8,#e838e8,1,0.0742510862360636
'Sergei Ignatjew',de,Russland,#e81818,#e81818,1,0.0742510862360636
'Jacqueline Mars',de,USA,#18e8e8,#18e8e8,1,0.0742510862360636
'Katharina König-Press',de,Deutschland,#1818e8,#1818e8,1,0.0742510862360636
'Gina Rinehart',de,Australien,#111111,#111111,1,0.0742510862360636
'Igor Setschin',de,Russland,#e81818,#e81818,1,0.0735075777920044
'Herman Gref',de,Russland,#e81818,#e81818,1,0.0708351964558468
'Yanis Varoufakis',de,Griechenland,#1858e8,#1858e8,1,0.0705370958585154
'Barbara Frenkel',de,Deutschland,#1818e8,#1818e8,1,0.0698281636747406
'Erica Chenoweth',de,USA,#18e8e8,#18e8e8,1,0.0695592324274716
'Valery Gerasimov',de,Russland,#e81818,#e81818,1,0.068984445859896
'Doris König',de,Deutschland,#1818e8,#1818e8,2,0.0675356756496823
'Thomas Dörflinger',de,Deutschland,#1818e8,#1818e8,1,0.0665617738974643
'Ilham Aliyev',de,Aserbaidschan,#111111,#111111,1,0.0653796285604981
'Alexei Miller',de,Russland,#e81818,#e81818,1,0.0652195234927817
'Chan Santokhi',de,Surinam,#111111,#111111,1,0.0640952875846985
'Iris Fontbona',de,Chile,#111111,#111111,1,0.063113423300654
'Kim Tok-hun',de,NordKorea,#e85858,#e85858,1,0.063113423300654
'Francoise Bettencourt-Meyers',de,Frankreich,#e8e808,#e8e808,1,0.063113423300654
'Choe Ryong-hae',de,NordKorea,#e85858,#e85858,1,0.063113423300654
'Dmitry Peskov',de,Russland,#e81818,#e81818,1,0.0629732212096697
'Michael Kahle',de,Deutschland,#1818e8,#1818e8,1,0.0606687331186543
'Michael Wirth',de,USA,#18e8e8,#18e8e8,1,0.0575251203980542
'Sucharit Bhakdi',de,Deutschland,#1818e8,#1818e8,1,0.056022804177542
'Darren Woods',de,USA,#18e8e8,#18e8e8,1,0.0553939088378827
'Amin H. Nasser',de,SaudiArabien,#111111,#111111,1,0.0551833295896002
'Ethan Bradley',de,USA,#18e8e8,#18e8e8,1,0.0551485049908643
'Sergei Surovikin',de,Russland,#e81818,#e81818,1,0.054201622077542
'Egon Westphal',de,Deutschland,#1818e8,#1818e8,1,0.0536464098055559
'Guillaume Pousaz',de,Schweiz,#111111,#111111,1,0.0470448764684652
'Miriam Adelson',de,USA,#18e8e8,#18e8e8,1,0.0455994483347225
'Bodo Schiffmann',de,Deutschland,#1818e8,#1818e8,1,0.0364798437452401
