,summary,Deutschland,Brasilien,USA,Frankreich,UN,China,Russland,Ukraine,word
Fehler,3.0904089532261905,0.09779918267784762,0.12256654532186988,-0.2832843722236333,-0.2095178445728125,0.0,0.041077746999292356,-0.27005975714121394,-0.1500096749766675,Fehler
sprech fehler,2.5841788551449763,-0.04276832737750477,0.301462174884395,-0.10438874266110827,-0.030622215010287474,0.0,-0.122542468007367,-0.09116412757868887,0.028885954585857743,sprech fehler
Vergangenheit,2.5479398545971894,-0.04901126159234166,0.28611118587224965,-0.09026607523387954,-0.01649954758305875,0.0,-0.10841980058013823,-0.07704146015146005,0.043008622013086376,Vergangenheit
fehler vergangenheit,2.5479398545971894,-0.04901126159234166,0.28611118587224965,-0.09026607523387954,-0.01649954758305875,0.0,-0.10841980058013823,-0.07704146015146005,0.043008622013086376,fehler vergangenheit
Russlandpolitik,2.4830925594604656,-0.05997123038514714,0.25539349553682256,-0.06448572584959074,0.00928080180122989,0.0,-0.0826394511958496,-0.05126111076717137,0.06878897139737505,Russlandpolitik
vergangenheit russlandpolitik,2.4830925594604656,-0.05997123038514714,0.25539349553682256,-0.06448572584959074,0.00928080180122989,0.0,-0.0826394511958496,-0.05126111076717137,0.06878897139737505,vergangenheit russlandpolitik
+852,2.439775814200497,-0.0671698195313624,0.2323759642152403,-0.046887098406633354,0.026879429244187496,0.0,-0.06504082375289204,-0.033662483324213795,0.08638759884033259,+852
russlandpolitik +852,2.439775814200497,-0.0671698195313624,0.2323759642152403,-0.046887098406633354,0.026879429244187496,0.0,-0.06504082375289204,-0.033662483324213795,0.08638759884033259,russlandpolitik +852
+852 chars,2.434642133801679,-0.06801774105879571,0.22950700442847358,-0.04478072084455915,0.028985806806261647,0.0,-0.06293444619081781,-0.03155610576213972,0.08849397640240697,+852 chars
Wiederholt,2.6918947169380614,0.08208237377907891,-0.19699075993077755,-0.14522624415944155,-0.07145971650862089,0.0,0.17913587506348397,-0.1320016290770222,-0.011951546912475648,Wiederholt
china-politik wiederholt,2.6918947169380614,0.08208237377907891,-0.19699075993077755,-0.14522624415944155,-0.07145971650862089,0.0,0.17913587506348397,-0.1320016290770222,-0.011951546912475648,china-politik wiederholt
wiederholt olaf,3.0543795177903728,0.21977393151156263,-0.323321926682301,-0.27155741091096514,-0.19779088326014432,0.0,0.05280470831196047,-0.2583327958285457,-0.1382827136639993,wiederholt olaf
alte,2.757935746797055,0.11143341278149395,-0.221227940591889,-0.16946342482055304,-0.09569689716973225,0.0,0.15489869440237253,-0.15623880973813364,-0.03618872757358717,alte
scholz alt,2.757935746797055,0.11143341278149395,-0.221227940591889,-0.16946342482055304,-0.09569689716973225,0.0,0.15489869440237253,-0.15623880973813364,-0.03618872757358717,scholz alt
alt fehler,2.679331339539729,0.07623268880831101,-0.19231272174073402,-0.14054820596939824,-0.06678167831857741,0.0,0.18381391325352744,-0.12732359088697875,-0.007273508722432303,alt fehler
podcast die,2.557963782305362,0.014736453381492081,-0.14595700297810155,-0.0941924872067657,-0.02042595955594505,0.0,0.2301696320161599,-0.08096787212434639,0.039082210040200065,podcast die
Hoffnung,2.5434842171723453,0.0067333638651766265,-0.14028033862023215,-0.08851582284889638,-0.014749295198075519,0.0,0.23584629637402935,-0.07529120776647692,0.04475887439806962,Hoffnung
die hoffnung,2.5434842171723453,0.0067333638651766265,-0.14028033862023215,-0.08851582284889638,-0.014749295198075519,0.0,0.23584629637402935,-0.07529120776647692,0.04475887439806962,die hoffnung
Wandel,3.427697680523322,-0.3252493330990115,-0.4386342641539506,0.5282632616457559,-0.31310322073179414,0.0,0.7129625614949678,-0.37364513330019544,-0.2535950511356491,Wandel
